,Unnamed:0,SaleNo,LotsOffered,QuantityofTeaSoldThKgs,AveragePriceRs,EAuction
0,0,1.0,3475,2538.11,116.88,0
1,1,2.0,3382,2606.86,116.74,0
2,2,3.0,3578,2809.28,115.1,0
3,3,4.0,3545,2713.73,113.55,0
4,4,5.0,3219,2324.31,110.59,0
5,5,6.0,2983,2126.71,105.06,0
6,6,7.0,2944,1880.71,100.44,0
7,7,8.0,3125,1876.84,94.26,0
8,8,9.0,2772,1713.66,86.98,0
9,9,10.0,1029,682.86,87.06,0
10,10,13.0,1380,760.94,72.12,0
11,11,14.0,293,111.66,128.48,0
12,12,15.0,378,195.74,133.57,0
13,13,16.0,980,551.62,113.0,0
14,14,17.0,964,491.39,142.15,0
15,15,18.0,1466,770.09,138.36,0
16,16,19.0,1681,1023.12,130.34,0
17,17,20.0,1717,982.15,134.41,0
18,18,21.0,2653,1563.0,131.25,0
19,19,22.0,2053,1159.91,129.04,0
20,20,23.0,2159,1383.74,132.71,0
21,21,24.0,2309,1451.83,134.28,0
22,22,25.0,2691,1798.09,136.54,0
23,23,26.0,2995,2104.04,137.56,0
24,24,27.0,3196,2165.6,138.44,0
25,25,28.0,3205,2349.99,137.1,0
26,26,29.0,3059,2078.33,138.46,0
27,27,30.0,3476,2179.97,126.51,0
28,28,31.0,3132,2114.52,127.87,0
29,29,32.0,3075,2236.03,128.26,0
30,30,33.0,3248,2353.23,127.41,0
31,31,34.0,3126,2378.33,126.79,0
32,32,35.0,3116,2386.84,127.62,0
33,33,36.0,3088,2369.36,126.66,0
34,34,37.0,3178,2219.57,124.85,0
35,35,38.0,3105,2536.3,130.09,0
36,36,39.0,2178,1754.84,129.86,0
37,37,42.0,3143,2450.01,126.7,0
38,38,43.0,2126,1688.97,128.5,0
39,39,44.0,3061,2311.17,127.04,0
40,40,45.0,1992,1628.48,127.75,0
41,41,46.0,3430,2655.4,124.54,0
42,42,47.0,3159,2314.01,124.62,0
43,43,48.0,3104,2619.67,128.43,0
44,44,49.0,3511,2834.25,124.6,0
45,45,50.0,3559,2783.32,120.23,0
46,46,51.0,3238,2650.05,122.87,0
47,47,52.0,3490,2811.34,125.48,0
48,48,1.0,1481,920.47,95.82,1
49,49,2.0,1688,1044.38,97.56,1
50,50,3.0,1833,1044.13,101.53,1
51,51,4.0,1230,740.42,106.35,1
52,52,5.0,1768,815.53,107.31,1
53,53,6.0,1737,982.88,110.1,1
54,54,7.0,1698,958.87,110.22,1
55,55,8.0,1920,1094.38,116.14,1
56,56,9.0,1448,819.89,117.1,1
57,57,10.0,1003,696.17,117.63,1
58,58,11.0,749,396.4,119.31,1
59,59,12.0,260,143.0,119.61,1
60,60,13.0,0,0.0,122.17,1
61,61,14.0,263,142.43,122.95,1
62,62,15.0,187,39.0,123.91,1
63,63,16.0,223,52.12,124.36,1
64,64,17.0,595,181.99,126.06,1
65,65,18.0,1077,324.29,126.25,1
66,66,19.0,868,323.83,128.96,1
67,67,20.0,1257,523.17,133.12,1
68,68,21.0,1656,647.69,137.01,1
69,69,22.0,1113,478.23,139.82,1
70,70,23.0,1227,504.34,144.39,1
71,71,24.0,1313,591.49,147.55,1
72,72,25.0,1357,581.56,147.9,1
73,73,26.0,1554,719.34,150.12,1
74,74,27.0,1337,695.22,150.12,1
75,75,28.0,1550,838.67,150.76,1
76,76,29.0,1591,863.52,154.31,1
77,77,30.0,1483,814.96,155.12,1
78,78,31.0,1426,838.27,155.12,1
79,79,32.0,1589,1003.99,155.12,1
